PuzzleId,FEN,Moves,Rating,Themes
0yxbN,4r1k1/pp2qp1p/4R1pP/2p1Qp2/2B5/P4P2/1PP2P2/1K6 b - - 0 25,f7e6 c4e6 e7e6 e5g7,1154,endgame mate mateIn2 sacrifice short
5DqWd,6r1/5R2/4p1pk/3p3p/3P1QPq/4P3/5PK1/8 b - - 2 36,g6g5 f4f6 g8g6 f6h8,1155,endgame mate mateIn2 short
1S8Ws,6rk/p4p1p/3p4/3Q4/2PpP2P/4q3/P4RK1/5R2 w - - 1 29,g2h1 e3h3 f2h2 h3f1,1156,deflection endgame mate mateIn2 short
yu5eO,8/8/8/1R6/6pk/3r4/6PK/8 w - - 4 49,b5b2 g4g3 h2g1 d3d1,1156,endgame mate mateIn2 rookEndgame short
wONsD,3r1k1r/1Q4pp/2pNbR2/p2p4/8/8/n1qBPPPP/4KB1R b K - 0 20,g7f6 d2h6 f8g8 b7g7,1157,mate mateIn2 middlegame short
tPfQV,r5rk/6p1/4p1Rp/3pP2Q/1Pq2p1b/P1P5/1K2R2P/8 b - - 3 34,f4f3 g6h6 g7h6 h5h6,1158,mate mateIn2 middlegame sacrifice short
sNxS7,1rr3k1/2qn1pP1/1B1ppbp1/1p6/1p2P3/1P3P2/PNPQ4/2KR3R b - - 1 23,d7b6 h1h8 g8g7 d2h6,1159,kingsideAttack mate mateIn2 middlegame short triangleMate
oerzo,1r4k1/pppb2b1/3p1qP1/3P3R/2P1p1P1/2NnB3/PPK5/7Q b - - 0 28,b8f8 h5h8 g7h8 h1h7,1160,clearance kingsideAttack mate mateIn2 middlegame sacrifice short
nwUic,r1bq1rk1/4pn1p/3p1p2/1p1P3Q/4B2P/PPN3P1/5P2/4R1K1 b - - 4 26,h7h6 h5g6 g8h8 g6h7,1161,kingsideAttack mate mateIn2 middlegame short
j2rWL,6Nk/1p4r1/p1n4p/8/3p3n/P2P3q/1P1BQ1P1/R4RK1 w - - 0 31,f1f8 g7g2 e2g2 h3g2,1162,fork mate mateIn2 middlegame short
